資產:::,資產,1,指因過去事項所產生之資源，該資源由商業控制，並預期帶來經濟效益之流入。,,,TWD,CURRENCY,F,F,T
資產:流動資產::,流動資產,11-12,指商業預期於其正常營業週期中實現、意圖出售或消耗之資產、主要為交易目的而持有之資產、預期於資產負債表日後十二個月內實現之資產、現金或約當現金，但不包括於資產負債表日後逾十二個月用以交換、清償負債或受有其他限制者。,,,TWD,CURRENCY,F,F,T
資產:流動資產:現金及約當現金:,現金及約當現金,111,指庫存現金、活期存款及可隨時轉換成定額現金且價值變動風險甚小之短期並具高度流動性之定期存款或投資。,,,TWD,CURRENCY,F,F,T
資產:流動資產:現金及約當現金:庫存現金,庫存現金,1111,,,,TWD,CURRENCY,F,F,F
資產:流動資產:現金及約當現金:零用金／週轉金,零用金／週轉金,1112,,,,TWD,CURRENCY,F,F,F
資產:流動資產:現金及約當現金:銀行存款,銀行存款,1113,,,,TWD,CURRENCY,F,F,F
資產:流動資產:現金及約當現金:在途現金,在途現金,1114,,,,TWD,CURRENCY,F,F,F
資產:流動資產:現金及約當現金:約當現金,約當現金,1115,,,,TWD,CURRENCY,F,F,F
資產:流動資產:透過損益按公允價值衡量之金融資產—流動:,透過損益按公允價值衡量之金融資產—流動,112,包括指定為透過損益按公允價值衡量之金融資產—流動、強制透過損益按公允價值衡量之金融資產—流動、透過其他綜合損益按公允價值衡量之權益工具投資—流動、透過其他綜合損益按公允價值衡量之債務工具投資—流動、按攤銷後成本衡量之金融資產—流動、以成本衡量之金融資產—流動及避險之金融資產—流動。,,,TWD,CURRENCY,F,F,T
資產:流動資產:透過損益按公允價值衡量之金融資產—流動:指定為透過損益按公允價值衡量之金融資產—流動,指定為透過損益按公允價值衡量之金融資產—流動,1121,,,,TWD,CURRENCY,F,F,F
資產:流動資產:透過損益按公允價值衡量之金融資產—流動:指定為透過損益按公允價值衡量之金融資產評價調整—流動,指定為透過損益按公允價值衡量之金融資產評價調整—流動,1122,,,,TWD,CURRENCY,F,F,F
資產:流動資產:透過損益按公允價值衡量之金融資產—流動:強制透過損益按公允價值衡量之金融資產—流動,強制透過損益按公允價值衡量之金融資產—流動,1123,,,,TWD,CURRENCY,F,F,F
資產:流動資產:透過損益按公允價值衡量之金融資產—流動:強制透過損益按公允價值衡量之金融資產評價調整—流動,強制透過損益按公允價值衡量之金融資產評價調整—流動,1124,,,,TWD,CURRENCY,F,F,F
資產:流動資產:透過其他綜合損益按公允價值衡量之金融資產—流動:,透過其他綜合損益按公允價值衡量之金融資產—流動,113,,,,TWD,CURRENCY,F,F,T
資產:流動資產:透過其他綜合損益按公允價值衡量之金融資產—流動:透過其他綜合損益按公允價值衡量之權益工具投資—流動,透過其他綜合損益按公允價值衡量之權益工具投資—流動,1131,,,,TWD,CURRENCY,F,F,F
資產:流動資產:透過其他綜合損益按公允價值衡量之金融資產—流動:透過其他綜合損益按公允價值衡量之權益工具投資評價調整—流動,透過其他綜合損益按公允價值衡量之權益工具投資評價調整—流動,1132,,,,TWD,CURRENCY,F,F,F
資產:流動資產:透過其他綜合損益按公允價值衡量之金融資產—流動:透過其他綜合損益按公允價值衡量之債務工具投資—流動,透過其他綜合損益按公允價值衡量之債務工具投資—流動,1133,,,,TWD,CURRENCY,F,F,F
資產:流動資產:透過其他綜合損益按公允價值衡量之金融資產—流動:透過其他綜合損益按公允價值衡量之債務工具投資評價調整—流動,透過其他綜合損益按公允價值衡量之債務工具投資評價調整—流動,1134,,,,TWD,CURRENCY,F,F,F
資產:流動資產:以成本衡量之金融資產—流動:,以成本衡量之金融資產—流動,114,,,,TWD,CURRENCY,F,F,T
資產:流動資產:以成本衡量之金融資產—流動:以成本衡量之金融資產—流動,以成本衡量之金融資產—流動,1141,,,,TWD,CURRENCY,F,F,F
資產:流動資產:以成本衡量之金融資產—流動:累計減損—以成本衡量之金融資產—流動,累計減損—以成本衡量之金融資產—流動,1142,,,,TWD,CURRENCY,F,F,F
資產:流動資產:按攤銷後成本衡量之金融資產—流動:,按攤銷後成本衡量之金融資產—流動,115,,,,TWD,CURRENCY,F,F,T
資產:流動資產:按攤銷後成本衡量之金融資產—流動:按攤銷後成本衡量之金融資產—流動,按攤銷後成本衡量之金融資產—流動,1151,,,,TWD,CURRENCY,F,F,F
資產:流動資產:按攤銷後成本衡量之金融資產—流動:備抵損失—按攤銷後成本衡量之金融資產—流動,備抵損失—按攤銷後成本衡量之金融資產—流動,1152,,,,TWD,CURRENCY,F,F,F
資產:流動資產:避險之金融資產—流動:,避險之金融資產—流動,117,,,,TWD,CURRENCY,F,F,T
資產:流動資產:避險之金融資產—流動:避險之金融資產—流動,避險之金融資產—流動,1171,,,,TWD,CURRENCY,F,F,F
資產:流動資產:避險之金融資產—流動:避險之金融資產評價調整—流動,避險之金融資產評價調整—流動,1172,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收票據淨額:,應收票據淨額,118,指商業應收之各種票據。,,,TWD,CURRENCY,F,F,T
資產:流動資產:應收票據淨額:應收票據,應收票據,1181,,,,TWD,CURRENCY,F,F,F
